"work_year","experience_level","job_title","salary","remote_ratio","company_size"
"2024","3","Data Management Analyst","172000","0","2"
"2024","3","Data Management Analyst","75600","0","2"
"2024","2","Data Management Manager","193000","0","2"
"2024","2","Data Management Manager","84600","0","2"
"2024","2","Data Management Specialist","123000","0","2"
"2024","2","Data Management Specialist","54000","0","2"
"2024","2","Data Manager","83300","0","2"
"2024","2","Data Manager","47500","0","2"
"2024","3","Research Engineer","234000","0","2"
"2024","3","Research Engineer","146000","0","2"
"2024","3","Data Engineer","147430","0","2"
"2024","3","Data Engineer","88275","0","2"
"2024","2","Data Engineer","173300","0","2"
"2024","2","Data Engineer","95000","0","2"
"2024","2","Data Engineer","137000","0","2"
"2024","2","Data Engineer","60300","0","2"
"2024","3","Data Engineer","220000","0","2"
"2024","3","Data Engineer","96600","0","2"
"2024","2","Data Engineer","172000","0","2"
"2024","2","Data Engineer","75600","0","2"
"2024","2","ETL Engineer","172000","0","2"
"2024","2","ETL Engineer","75600","0","2"
"2024","1","Data Analyst","58717","0","2"
"2024","1","Data Analyst","49183","0","2"
"2024","1","Data Analyst","62000","0","2"
"2024","1","Data Analyst","39000","0","2"
"2024","1","Data Analyst","123625","0","2"
"2024","1","Data Analyst","77265","0","2"
"2024","2","Data Analyst","93000","0","2"
"2024","2","Data Analyst","63000","0","2"
"2024","3","Data Analyst","115000","0","2"
"2024","3","Data Analyst","80000","0","2"
"2024","1","Data Analyst","137000","0","2"
"2024","1","Data Analyst","60400","0","2"
"2024","3","Data Architect","193000","0","2"
"2024","3","Data Architect","84600","0","2"
"2024","3","BI Developer","77802","0","2"
"2024","3","BI Developer","62241","0","2"
"2024","3","Applied Scientist","251600","0","2"
"2024","3","Applied Scientist","120100","0","2"
"2024","2","Data Visualization Engineer","172000","0","2"
"2024","2","Data Visualization Engineer","75600","0","2"
"2024","2","Data Visualization Specialist","137000","0","2"
"2024","2","Data Visualization Specialist","60400","0","2"
"2024","2","Machine Learning Engineer","172000","0","2"
"2024","2","Machine Learning Engineer","75600","0","2"
"2024","3","AI Engineer","285000","0","2"
"2024","3","AI Engineer","125600","0","2"
"2024","3","Data Architect","149925","0","2"
"2024","3","Data Architect","91260","0","2"
"2024","3","Data Scientist","150000","0","2"
"2024","3","Data Scientist","120000","0","2"
"2024","2","Data Scientist","175275","0","2"
"2024","2","Data Scientist","93374","0","2"
"2024","1","Data Scientist","172000","0","2"
"2024","1","Data Scientist","75600","0","2"
"2024","2","Data Scientist","202800","0","2"
"2024","2","Data Scientist","109200","0","2"
"2024","2","Data Scientist","106890","0","2"
"2024","2","Data Scientist","88566","0","2"
"2024","3","Data Scientist","100000","100","2"
"2024","3","Data Scientist","100000","100","2"
"2024","1","Data Scientist","172000","0","2"
"2024","1","Data Scientist","75600","0","2"
"2024","1","Data Scientist","172000","0","2"
"2024","1","Data Scientist","75600","0","2"
"2024","2","Research Engineer","159850","0","2"
"2024","2","Research Engineer","79900","0","2"
"2024","3","Data Specialist","139200","0","2"
"2024","3","Data Specialist","87100","0","2"
"2024","2","Data Specialist","82800","0","2"
"2024","2","Data Specialist","61200","0","2"
"2024","3","Business Intelligence","144300","100","2"
